# stan_version_major = 2
# stan_version_minor = 17
# stan_version_patch = 1
# model = bernoulli_model
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 1
# id = 3
# data
#   file = bernoulli_3.data.R
# init = 2 (Default)
# random
#   seed = 2961180736
# output
#   file = bernoulli_samples_3.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,theta
# Adaptation terminated
# Step size = 0.919933
# Diagonal elements of inverse mass matrix:
# 0.446808
-8.58214,0.785383,0.919933,1,3,0,8.89546,0.530258
-8.13745,1,0.919933,2,3,0,8.5251,0.475708
-7.80259,0.925812,0.919933,1,3,0,8.61913,0.25882
-8.57473,0.886523,0.919933,1,3,0,8.60929,0.170269
-7.64363,1,0.919933,2,3,0,8.47752,0.319216
-7.64851,0.998802,0.919933,1,1,0,7.64902,0.313962
-7.85069,0.973408,0.919933,2,3,0,7.87581,0.425209
-7.8531,0.999331,0.919933,1,1,0,7.91002,0.425743
-7.64567,1,0.919933,2,3,0,7.83261,0.316811
-7.63837,0.956841,0.919933,2,3,0,7.92415,0.336057
-8.62705,0.756592,0.919933,1,3,0,9.02835,0.166567
-7.65447,0.961767,0.919933,1,3,0,8.90003,0.358192
-8.55283,0.785222,0.919933,2,3,0,9.06594,0.171864
-9.20801,0.968973,0.919933,2,3,0,9.2391,0.13316
-8.48463,1,0.919933,1,1,0,9.11645,0.177014
-8.48463,0.964816,0.919933,1,1,0,8.77463,0.177014
-7.98393,1,0.919933,1,1,0,8.39269,0.227983
-7.66753,0.997962,0.919933,1,3,0,7.93578,0.300939
-7.64066,0.947613,0.919933,2,3,0,8.0053,0.342981
-7.64702,0.997387,0.919933,1,3,0,7.65641,0.315396
-7.86336,0.953965,0.919933,1,3,0,7.89079,0.246933
-7.99716,0.920444,0.919933,1,3,0,8.56617,0.453561
-7.76349,1,0.919933,1,1,0,7.93862,0.403433
-7.85025,0.904861,0.919933,2,3,0,8.39924,0.249326
-7.78707,1,0.919933,1,1,0,7.8565,0.26224
-9.97619,0.745892,0.919933,2,3,0,10.2656,0.102517
-8.77233,1,0.919933,1,1,0,9.81716,0.157001
-7.72018,0.995195,0.919933,2,3,0,8.79757,0.279911
-8.4031,0.881235,0.919933,1,3,0,8.46011,0.183575
-8.50785,0.982647,0.919933,1,1,0,8.62845,0.175229
-8.07505,1,0.919933,1,1,0,8.44201,0.216196
-7.98102,1,0.919933,1,1,0,8.10698,0.228388
-9.44246,0.822383,0.919933,2,3,0,9.93758,0.122566
-10.5264,0.888821,0.919933,1,1,0,10.5636,0.0861768
-10.0203,1,0.919933,2,3,0,10.6734,0.101064
-9.37329,1,0.919933,1,1,0,10.0512,0.125559
-7.71077,1,0.919933,2,3,0,9.25194,0.282965
-7.81133,0.956238,0.919933,1,3,0,8.02622,0.416052
-7.6678,0.978088,0.919933,2,3,0,7.96496,0.366973
-7.6678,0.706385,0.919933,1,3,0,8.88125,0.366973
-8.30978,0.906019,0.919933,2,3,0,8.32912,0.191709
-8.91561,0.893914,0.919933,2,3,0,9.70923,0.14845
-7.75313,0.985115,0.919933,1,3,0,8.81769,0.270493
-8.85782,0.737208,0.919933,1,3,0,9.53242,0.557328
-8.16272,1,0.919933,1,1,0,8.71155,0.479351
-10.2351,0.560095,0.919933,1,1,0,10.2351,0.656687
-8.3994,1,0.919933,1,1,0,9.74705,0.509909
-8.3994,0.794813,0.919933,1,1,0,9.07784,0.509909
-7.64045,1,0.919933,1,3,0,8.31172,0.342554
-7.64077,0.99903,0.919933,2,3,0,7.6478,0.323565
-7.91195,0.931544,0.919933,1,3,0,7.995,0.437957
-8.05268,0.847024,0.919933,2,7,0,8.82225,0.218937
-7.89732,0.922868,0.919933,2,3,0,8.85894,0.435049
-8.82083,0.615462,0.919933,1,3,0,10.2383,0.154016
-7.73125,0.953825,0.919933,2,3,0,9.43292,0.393548
-7.66315,1,0.919933,1,1,0,7.71334,0.364184
-7.67236,0.997578,0.919933,1,1,0,7.67699,0.369502
-7.72083,0.941891,0.919933,2,3,0,8.01499,0.279707
-8.22211,0.916168,0.919933,1,3,0,8.24714,0.200079
-7.88048,1,0.919933,1,1,0,8.1571,0.243928
-8.05338,0.965538,0.919933,1,1,0,8.07198,0.21885
-7.70628,0.996313,0.919933,1,3,0,7.9872,0.284499
-7.97501,0.957446,0.919933,1,3,0,7.97889,0.229235
-7.7442,0.98258,0.919933,2,3,0,8.16338,0.272879
-8.09576,0.888737,0.919933,1,3,0,8.49425,0.469489
-8.29343,0.945563,0.919933,1,1,0,8.38368,0.49693
-8.83906,0.857057,0.919933,1,1,0,8.9345,0.555599
-7.66298,1,0.919933,1,3,0,8.62011,0.364079
-7.78055,0.977737,0.919933,1,3,0,7.7809,0.408163
-7.6814,1,0.919933,1,1,0,7.75482,0.374079
-7.75132,0.886938,0.919933,2,3,0,8.38117,0.270968
-8.5041,0.876938,0.919933,1,3,0,8.55661,0.175515
-7.71259,0.944903,0.919933,1,3,0,8.94511,0.387054
-9.10506,0.79035,0.919933,2,3,0,9.11656,0.138251
-8.47895,0.962007,0.919933,2,3,0,9.89454,0.177456
-7.65256,1,0.919933,2,3,0,8.31671,0.356672
-7.75337,0.965667,0.919933,1,3,0,7.84268,0.27043
-7.69773,1,0.919933,1,1,0,7.745,0.287577
-7.68114,1,0.919933,1,1,0,7.70055,0.2943
-7.67666,0.99067,0.919933,1,3,0,7.76793,0.371746
-7.96781,0.941939,0.919933,1,3,0,7.97205,0.448414
-8.34978,0.965915,0.919933,2,3,0,8.38543,0.503955
-7.63881,0.979784,0.919933,2,3,0,8.4822,0.33822
-7.63891,0.997915,0.919933,2,3,0,7.65148,0.328097
-7.63964,0.960021,0.919933,2,3,0,7.89023,0.325985
-7.71775,0.982249,0.919933,1,3,0,7.72974,0.28068
-7.85564,0.945147,0.919933,1,3,0,8.10381,0.426302
-7.75211,1,0.919933,1,1,0,7.8412,0.400104
-8.20907,0.774229,0.919933,2,3,0,9.07815,0.201394
-8.20907,0.950159,0.919933,1,1,0,8.49819,0.201394
-8.52381,0.94666,0.919933,1,1,0,8.56744,0.17402
-8.28574,0.88161,0.919933,2,3,0,10.1256,0.495947
-9.64481,0.683286,0.919933,1,1,0,9.67288,0.619451
-8.40709,1,0.919933,2,3,0,9.35487,0.510813
-7.87875,1,0.919933,1,1,0,8.26745,0.431242
-7.63851,0.999275,0.919933,1,3,0,7.87662,0.329775
-7.63851,0.339006,0.919933,1,3,0,11.698,0.329775
-7.82637,0.969764,0.919933,2,3,0,7.86591,0.25391
-8.13394,0.938804,0.919933,1,1,0,8.13516,0.209378
-7.91967,0.929704,0.919933,1,3,0,8.86283,0.439459
-7.91967,0.840401,0.919933,1,1,0,8.37302,0.439459
-8.19833,0.924565,0.919933,1,1,0,8.23299,0.484339
-7.86313,1,0.919933,1,1,0,8.12176,0.42793
-8.40411,0.747474,0.919933,2,3,0,9.54117,0.510462
-8.85822,0.879699,0.919933,1,1,0,8.99333,0.557365
-8.45734,1,0.919933,2,3,0,8.90188,0.516612
-7.63818,0.999739,0.919933,1,3,0,8.39838,0.333962
-7.65485,0.997032,0.919933,2,3,0,7.66011,0.358479
-7.69977,0.903598,0.919933,2,3,0,8.24598,0.286821
-8.33078,0.885081,0.919933,1,3,0,8.39176,0.189813
-7.90001,1,0.919933,1,1,0,8.24714,0.240646
-8.13291,0.894798,0.919933,1,3,0,8.8332,0.475043
-7.96669,1,0.919933,1,1,0,8.14636,0.448212
-7.86139,1,0.919933,2,3,0,7.97858,0.427553
-8.61705,0.80846,0.919933,1,1,0,8.61804,0.533902
-8.1191,0.79225,0.919933,2,3,0,10.2494,0.473003
-7.94431,1,0.919933,1,1,0,8.12309,0.444129
-7.66454,1,0.919933,2,3,0,7.89725,0.3026
-7.81655,0.952518,0.919933,1,3,0,7.94414,0.417321
-7.93267,0.883128,0.919933,2,3,0,8.57532,0.441947
